opportunity_id,sales_agent,manager,regional_office,account,sector,office_location,product,series,sales_price,deal_stage,engage_date,close_date,close_value
0000I7AO,Jonathan Berthelot,Melvin Marxen,Central ,Rangreen,technolgy,Panama,GTX Basic,GTX,550,Won,4/5/2017,5/12/2017,505
00400B1S,Lajuana Vencill,Dustin Brinkmann,Central ,NULL,NULL,NULL,GTX Basic,GTX,550,Prospecting,NULL,NULL,NULL
005JS57S,Gladys Colclough,Melvin Marxen,Central ,Treequote,telecommunications,United States,GTX Basic,GTX,550,Won,10/30/2017,11/11/2017,539
00KY25OA,Donn Cantrell,Rocco Neubert,East ,Condax,medical,United States,GTX Basic,GTX,550,Won,5/19/2017,6/1/2017,564
00X8VEYH,Jonathan Berthelot,Melvin Marxen,Central ,Rundofase,technolgy,United States,GTXPro,GTX,4821,Won,10/7/2017,12/22/2017,4404
00XBYXIB,Kary Hendrixson,Summer Sewald,West ,Green-Plus,services,United States,GTX Plus Basic,GTX,1096,Won,7/8/2017,7/9/2017,993
00ZD3M4J,Reed Clapper,Rocco Neubert,East ,Plussunin,retail,United States,GTXPro,GTX,4821,Lost,6/25/2017,7/4/2017,0
018KKT5I,Rosalina Dieter,Celia Rouche,West ,Faxquote,telecommunications,United States,GTX Basic,GTX,550,Lost,10/5/2017,10/11/2017,0
019I751P,Anna Snelling,Dustin Brinkmann,Central ,Statholdings,employment,United States,GTX Plus Basic,GTX,1096,Won,7/2/2017,7/9/2017,1180
01DZ14Y0,Gladys Colclough,Melvin Marxen,Central ,dambase,marketing,United States,MG Advanced,MG,3393,Lost,8/28/2017,11/25/2017,0
01EH41WA,Zane Levy,Summer Sewald,West ,NULL,NULL,NULL,GTXPro,GTX,4821,Engaging,3/4/2017,NULL,NULL
01FNZW2T,Rosie Papadopoulos,Cara Losch,East ,Bubba Gump,software,United States,GTXPro,GTX,4821,Won,8/30/2017,12/8/2017,3974
01QKN578,Darcel Schlecht,Melvin Marxen,Central ,Funholding,finance,United States,GTXPro,GTX,4821,Won,12/23/2016,3/20/2017,4247
01X8H9SO,Corliss Cosme,Cara Losch,East ,Bubba Gump,software,United States,GTXPro,GTX,4821,Won,1/30/2017,5/13/2017,5035
01XZ9CRY,Zane Levy,Summer Sewald,West ,Initech,telecommunications,United States,GTX Plus Pro,GTX,5482,Engaging,9/18/2017,NULL,NULL
021Z2J9L,Markita Hansen,Celia Rouche,West ,Rundofase,technolgy,United States,GTK 500,GTK,26768,Engaging,7/23/2017,NULL,NULL
